District,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
hyderabad,2019,3,TOTAL,55159072,96365182751.25804
jaipur,2019,3,TOTAL,36334520,58402103360.67965
new delhi,2019,3,TOTAL,24687138,43288057341.92169
rangareddy,2019,3,TOTAL,23655175,33663962263.155968
khordha,2019,3,TOTAL,18364742,25509656902.49331
medchal malkajgiri,2019,3,TOTAL,17492750,23256556346.306458
visakhapatnam,2019,3,TOTAL,16694947,26944837120.046288
kolkata,2019,3,TOTAL,16306691,21451201632.248753
bengaluru urban,2019,4,TOTAL,180458808,199966708446.8142
pune,2019,4,TOTAL,91666565,103270644868.1607
hyderabad,2019,4,TOTAL,72987282,130230415629.3025
jaipur,2019,4,TOTAL,44335592,81782144762.48987
rangareddy,2019,4,TOTAL,31237803,44757331443.568375
new delhi,2019,4,TOTAL,29048107,54398427887.76768
khordha,2019,4,TOTAL,27477393,34227232121.528633
visakhapatnam,2019,4,TOTAL,23594874,39133296330.044624
medchal malkajgiri,2019,4,TOTAL,22999944,31417907129.793076
kolkata,2019,4,TOTAL,21917627,26475748918.32508
bengaluru urban,2020,1,TOTAL,200174352,231970686013.7528
pune,2020,1,TOTAL,107497963,119146177775.3236
hyderabad,2020,1,TOTAL,94177232,183207208610.81787
jaipur,2020,1,TOTAL,52623661,98360847993.80875
rangareddy,2020,1,TOTAL,31802492,45881228273.95146
visakhapatnam,2020,1,TOTAL,27115031,48809747614.678894
medchal malkajgiri,2020,1,TOTAL,25458101,37404467180.931694
central delhi,2020,1,TOTAL,24757650,41219414205.0607
mumbai suburban,2020,1,TOTAL,23598054,40462122569.6479
khordha,2020,1,TOTAL,23152370,39755139238.6053
bengaluru urban,2020,2,TOTAL,132120979,176357097466.7659
pune,2020,2,TOTAL,58840981,94890914730.75931
hyderabad,2020,2,TOTAL,56374644,130820061488.30273
jaipur,2020,2,TOTAL,43871862,88270816977.90562
visakhapatnam,2020,2,TOTAL,25300401,48293889917.41437
rangareddy,2020,2,TOTAL,18068048,31273545586.261536
medchal malkajgiri,2020,2,TOTAL,17860704,29732057894.607735
central delhi,2020,2,TOTAL,17641823,30418597739.3527
khordha,2020,2,TOTAL,16842715,34814877058.416145
ahmadabad,2020,2,TOTAL,16430916,32731896547.150326
bengaluru urban,2020,3,TOTAL,188947684,261095181780.0901
pune,2020,3,TOTAL,101472134,154366363808.0403
hyderabad,2020,3,TOTAL,99285803,228448742377.47607
jaipur,2020,3,TOTAL,71797182,138189424031.4575
visakhapatnam,2020,3,TOTAL,34421299,67628440368.111465
central delhi,2020,3,TOTAL,32203761,61527717933.93762
rangareddy,2020,3,TOTAL,29573243,51787722036.044556
bhopal,2020,3,TOTAL,29560361,57525605025.512215
medchal malkajgiri,2020,3,TOTAL,28698311,48831695001.78223
khordha,2020,3,TOTAL,23387123,44638448273.52248
bengaluru urban,2020,4,TOTAL,267720411,352536741958.4486
pune,2020,4,TOTAL,142350762,182511549425.14316
hyderabad,2020,4,TOTAL,117008707,243045184188.2821
jaipur,2020,4,TOTAL,82378485,159641718978.41748
rangareddy,2020,4,TOTAL,53405219,89256130453.08658
