States,District,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
andhra-pradesh,anantapur,2018,1,TOTAL,638664,788830646.0324218
andhra-pradesh,ysr,2018,1,TOTAL,487333,681481931.0936775
andhra-pradesh,west godavari,2018,1,TOTAL,577090,853547668.7532666
andhra-pradesh,kurnool,2018,1,TOTAL,679623,764905298.7350456
andhra-pradesh,chittoor,2018,1,TOTAL,830324,1009621878.0870512
andhra-pradesh,guntur,2018,1,TOTAL,815932,1108686589.0266829
andhra-pradesh,krishna,2018,1,TOTAL,863935,1284255179.6156201
andhra-pradesh,east godavari,2018,2,TOTAL,1221677,2168914928.4239016
andhra-pradesh,srikakulam,2018,2,TOTAL,559868,929392017.3670053
andhra-pradesh,spsr nellore,2018,2,TOTAL,780454,1542057934.0108962
andhra-pradesh,vizianagaram,2018,2,TOTAL,529588,811711367.5080048
andhra-pradesh,visakhapatnam,2018,2,TOTAL,1641192,2987853607.2939095
andhra-pradesh,prakasam,2018,2,TOTAL,739991,1571167562.1276276
andhra-pradesh,anantapur,2018,2,TOTAL,937023,1690366079.0557928
andhra-pradesh,ysr,2018,2,TOTAL,690842,1415500367.6861844
andhra-pradesh,west godavari,2018,2,TOTAL,786033,1688025212.3045945
andhra-pradesh,kurnool,2018,2,TOTAL,968439,1531888665.6843233
andhra-pradesh,chittoor,2018,2,TOTAL,1185723,1990419125.8937118
andhra-pradesh,guntur,2018,2,TOTAL,1088101,2108475811.7859967
andhra-pradesh,krishna,2018,2,TOTAL,1224987,2448141593.4919834
andhra-pradesh,east godavari,2018,3,TOTAL,3226907,3551247095.307447
andhra-pradesh,srikakulam,2018,3,TOTAL,1073883,1318322236.598471
andhra-pradesh,spsr nellore,2018,3,TOTAL,1308890,2215938596.185108
andhra-pradesh,vizianagaram,2018,3,TOTAL,970132,1163546006.895916
andhra-pradesh,visakhapatnam,2018,3,TOTAL,3394576,4821892253.393524
andhra-pradesh,prakasam,2018,3,TOTAL,1319651,2346453445.483843
andhra-pradesh,anantapur,2018,3,TOTAL,1815215,2681787750.464165
andhra-pradesh,ysr,2018,3,TOTAL,1557444,2235904512.2542048
andhra-pradesh,west godavari,2018,3,TOTAL,1431282,2309078492.8058147
andhra-pradesh,kurnool,2018,3,TOTAL,2921189,2908389261.539773
andhra-pradesh,chittoor,2018,3,TOTAL,2297429,3283517630.720593
andhra-pradesh,guntur,2018,3,TOTAL,1912529,3127764663.180438
andhra-pradesh,krishna,2018,3,TOTAL,2396934,3754202654.3844614
andhra-pradesh,east godavari,2018,4,TOTAL,3052762,4652624623.436675
andhra-pradesh,srikakulam,2018,4,TOTAL,1252807,1870278609.504549
andhra-pradesh,spsr nellore,2018,4,TOTAL,1814997,3293448556.9734454
andhra-pradesh,vizianagaram,2018,4,TOTAL,1386787,1817673252.5417767
andhra-pradesh,visakhapatnam,2018,4,TOTAL,4791421,7366635864.849373
andhra-pradesh,prakasam,2018,4,TOTAL,1692862,3255254226.03728
andhra-pradesh,anantapur,2018,4,TOTAL,2286391,3975878156.329829
andhra-pradesh,ysr,2018,4,TOTAL,1732527,3252340063.2478595
andhra-pradesh,west godavari,2018,4,TOTAL,1688482,3237504255.4632454
andhra-pradesh,kurnool,2018,4,TOTAL,2508530,3626544852.4069242
andhra-pradesh,chittoor,2018,4,TOTAL,3166201,4979093890.223491
andhra-pradesh,guntur,2018,4,TOTAL,2546620,4730251217.696959
andhra-pradesh,krishna,2018,4,TOTAL,2839161,5416251838.130407
andhra-pradesh,east godavari,2019,1,TOTAL,5440146,7382264724.59952
andhra-pradesh,srikakulam,2019,1,TOTAL,2526855,3407912878.4152584
andhra-pradesh,spsr nellore,2019,1,TOTAL,3333584,5161932216.216368
andhra-pradesh,vizianagaram,2019,1,TOTAL,2798241,3364576948.299301
andhra-pradesh,visakhapatnam,2019,1,TOTAL,9690866,13459857440.552685
andhra-pradesh,prakasam,2019,1,TOTAL,2931081,4807527779.215151
andhra-pradesh,anantapur,2019,1,TOTAL,3891336,6044730653.191345
andhra-pradesh,ysr,2019,1,TOTAL,2852197,4915811593.896078
andhra-pradesh,west godavari,2019,1,TOTAL,2829437,4623764455.47309
andhra-pradesh,kurnool,2019,1,TOTAL,4193432,5541564892.509682
andhra-pradesh,chittoor,2019,1,TOTAL,6486813,8223371732.233585
andhra-pradesh,guntur,2019,1,TOTAL,4846553,7765934169.404485
andhra-pradesh,krishna,2019,1,TOTAL,5443981,9061346433.072681
