States,Pincodes,Transaction_Year,Quarters,registeredUsers
andhra-pradesh,spsr nellore,2019,1,59055
andhra-pradesh,prakasam,2019,1,55931
andhra-pradesh,visakhapatnam,2019,2,113033
andhra-pradesh,krishna,2019,2,97534
andhra-pradesh,east godavari,2019,2,87556
andhra-pradesh,chittoor,2019,2,84157
andhra-pradesh,guntur,2019,2,76617
andhra-pradesh,anantapur,2019,2,75952
andhra-pradesh,kurnool,2019,2,68283
andhra-pradesh,west godavari,2019,2,66885
andhra-pradesh,spsr nellore,2019,2,66082
andhra-pradesh,prakasam,2019,2,62933
andhra-pradesh,visakhapatnam,2019,3,124727
andhra-pradesh,krishna,2019,3,108199
andhra-pradesh,east godavari,2019,3,97323
andhra-pradesh,chittoor,2019,3,93191
andhra-pradesh,guntur,2019,3,84918
andhra-pradesh,anantapur,2019,3,84693
andhra-pradesh,kurnool,2019,3,74501
andhra-pradesh,west godavari,2019,3,73267
andhra-pradesh,spsr nellore,2019,3,72722
andhra-pradesh,prakasam,2019,3,69783
andhra-pradesh,visakhapatnam,2019,4,136436
andhra-pradesh,krishna,2019,4,119146
andhra-pradesh,east godavari,2019,4,106404
andhra-pradesh,guntur,2019,4,102848
andhra-pradesh,chittoor,2019,4,94209
andhra-pradesh,anantapur,2019,4,94193
andhra-pradesh,kurnool,2019,4,81619
andhra-pradesh,west godavari,2019,4,81191
andhra-pradesh,spsr nellore,2019,4,79453
andhra-pradesh,prakasam,2019,4,77681
andhra-pradesh,visakhapatnam,2020,1,146823
andhra-pradesh,krishna,2020,1,129214
andhra-pradesh,east godavari,2020,1,114042
andhra-pradesh,guntur,2020,1,111359
andhra-pradesh,chittoor,2020,1,102905
andhra-pradesh,anantapur,2020,1,102893
andhra-pradesh,kurnool,2020,1,89774
andhra-pradesh,west godavari,2020,1,87449
andhra-pradesh,spsr nellore,2020,1,85878
andhra-pradesh,prakasam,2020,1,85779
andhra-pradesh,visakhapatnam,2020,2,156221
andhra-pradesh,east godavari,2020,2,138735
andhra-pradesh,krishna,2020,2,120621
andhra-pradesh,guntur,2020,2,119223
andhra-pradesh,chittoor,2020,2,112673
andhra-pradesh,anantapur,2020,2,111898
andhra-pradesh,kurnool,2020,2,98803
andhra-pradesh,west godavari,2020,2,93834
andhra-pradesh,spsr nellore,2020,2,93224
andhra-pradesh,prakasam,2020,2,91299
andhra-pradesh,visakhapatnam,2020,3,166768
andhra-pradesh,east godavari,2020,3,149001
andhra-pradesh,krishna,2020,3,128227
andhra-pradesh,guntur,2020,3,128059
andhra-pradesh,chittoor,2020,3,121529
andhra-pradesh,anantapur,2020,3,120997
andhra-pradesh,kurnool,2020,3,108073
andhra-pradesh,west godavari,2020,3,102103
andhra-pradesh,spsr nellore,2020,3,99754
andhra-pradesh,prakasam,2020,3,97752
andhra-pradesh,visakhapatnam,2020,4,178328
andhra-pradesh,east godavari,2020,4,160062
andhra-pradesh,krishna,2020,4,137945
andhra-pradesh,guntur,2020,4,136049
andhra-pradesh,chittoor,2020,4,130871
andhra-pradesh,anantapur,2020,4,130500
andhra-pradesh,kurnool,2020,4,117397
andhra-pradesh,west godavari,2020,4,110746
andhra-pradesh,spsr nellore,2020,4,106320
andhra-pradesh,prakasam,2020,4,104956
andhra-pradesh,visakhapatnam,2021,1,190712
andhra-pradesh,east godavari,2021,1,171417
andhra-pradesh,krishna,2021,1,147941
andhra-pradesh,guntur,2021,1,145206
andhra-pradesh,chittoor,2021,1,140153
andhra-pradesh,anantapur,2021,1,139840
andhra-pradesh,kurnool,2021,1,126260
andhra-pradesh,west godavari,2021,1,118730
andhra-pradesh,spsr nellore,2021,1,113581
andhra-pradesh,prakasam,2021,1,112324
andhra-pradesh,visakhapatnam,2021,2,203005
andhra-pradesh,east godavari,2021,2,182425
andhra-pradesh,krishna,2021,2,157649
andhra-pradesh,guntur,2021,2,154509
andhra-pradesh,chittoor,2021,2,149368
andhra-pradesh,anantapur,2021,2,148851
andhra-pradesh,kurnool,2021,2,134622
andhra-pradesh,west godavari,2021,2,126459
andhra-pradesh,spsr nellore,2021,2,120973
andhra-pradesh,prakasam,2021,2,119561
andhra-pradesh,visakhapatnam,2021,3,216777
andhra-pradesh,east godavari,2021,3,194860
andhra-pradesh,krishna,2021,3,168654
andhra-pradesh,guntur,2021,3,164812
andhra-pradesh,chittoor,2021,3,159802
andhra-pradesh,anantapur,2021,3,158891
andhra-pradesh,kurnool,2021,3,144068
andhra-pradesh,west godavari,2021,3,135136
andhra-pradesh,spsr nellore,2021,3,129270
andhra-pradesh,prakasam,2021,3,127618
andhra-pradesh,visakhapatnam,2021,4,230688
andhra-pradesh,east godavari,2021,4,207174
andhra-pradesh,krishna,2021,4,179763
andhra-pradesh,guntur,2021,4,175300
andhra-pradesh,chittoor,2021,4,170267
andhra-pradesh,anantapur,2021,4,169158
andhra-pradesh,kurnool,2021,4,153381
andhra-pradesh,west godavari,2021,4,143764
andhra-pradesh,spsr nellore,2021,4,137812
andhra-pradesh,prakasam,2021,4,135719
andhra-pradesh,visakhapatnam,2022,1,243791
andhra-pradesh,east godavari,2022,1,218905
andhra-pradesh,krishna,2022,1,190203
andhra-pradesh,guntur,2022,1,185094
andhra-pradesh,chittoor,2022,1,180102
andhra-pradesh,anantapur,2022,1,179007
andhra-pradesh,kurnool,2022,1,162263
