States,District,registeredUsers,appOpens,Transaction_Year,Quarters
andhra-pradesh,visakhapatnam,1174517,0,2019,1
andhra-pradesh,prakasam,474260,0,2019,1
andhra-pradesh,anantapur,612162,0,2019,1
andhra-pradesh,kurnool,599422,0,2019,1
andhra-pradesh,guntur,802394,0,2019,1
andhra-pradesh,krishna,833694,0,2019,1
andhra-pradesh,spsr nellore,491908,0,2019,1
andhra-pradesh,vizianagaram,313334,0,2019,1
andhra-pradesh,ysr,460590,0,2019,1
andhra-pradesh,west godavari,523372,0,2019,1
andhra-pradesh,chittoor,812314,0,2019,1
andhra-pradesh,east godavari,945181,7156762,2019,2
andhra-pradesh,srikakulam,392764,3230330,2019,2
andhra-pradesh,visakhapatnam,1318740,13681907,2019,2
andhra-pradesh,prakasam,539462,4488365,2019,2
andhra-pradesh,anantapur,695114,6056591,2019,2
andhra-pradesh,kurnool,680118,6240480,2019,2
andhra-pradesh,guntur,915256,7268875,2019,2
andhra-pradesh,krishna,952300,7822632,2019,2
andhra-pradesh,spsr nellore,558303,4774473,2019,2
andhra-pradesh,vizianagaram,355058,3541678,2019,2
andhra-pradesh,ysr,519031,4345848,2019,2
andhra-pradesh,west godavari,592185,3853094,2019,2
andhra-pradesh,chittoor,925491,8914216,2019,2
andhra-pradesh,east godavari,1057167,28275322,2019,3
andhra-pradesh,srikakulam,437939,11813195,2019,3
andhra-pradesh,visakhapatnam,1460464,54836001,2019,3
andhra-pradesh,prakasam,598568,16267041,2019,3
andhra-pradesh,anantapur,773656,22845084,2019,3
andhra-pradesh,kurnool,755024,22827473,2019,3
andhra-pradesh,guntur,1026418,28477132,2019,3
andhra-pradesh,krishna,1066546,30077671,2019,3
andhra-pradesh,spsr nellore,619592,17768733,2019,3
andhra-pradesh,vizianagaram,394375,13065845,2019,3
andhra-pradesh,ysr,574109,15833900,2019,3
andhra-pradesh,west godavari,662102,14227407,2019,3
andhra-pradesh,chittoor,1032733,34638738,2019,3
andhra-pradesh,east godavari,1195228,38299189,2019,4
andhra-pradesh,srikakulam,496266,16353822,2019,4
andhra-pradesh,visakhapatnam,1620235,70749983,2019,4
andhra-pradesh,prakasam,673522,21639748,2019,4
andhra-pradesh,anantapur,873033,30278539,2019,4
andhra-pradesh,kurnool,846885,29676997,2019,4
andhra-pradesh,guntur,1158708,37846179,2019,4
andhra-pradesh,krishna,1199971,39407473,2019,4
andhra-pradesh,spsr nellore,697154,23608360,2019,4
andhra-pradesh,vizianagaram,443810,17515311,2019,4
andhra-pradesh,ysr,646642,21543798,2019,4
andhra-pradesh,west godavari,750078,19393528,2019,4
andhra-pradesh,chittoor,1156351,44888591,2019,4
andhra-pradesh,east godavari,1329664,46142746,2020,1
andhra-pradesh,srikakulam,552007,20975989,2020,1
andhra-pradesh,visakhapatnam,1763581,77558624,2020,1
andhra-pradesh,prakasam,748655,26870693,2020,1
andhra-pradesh,anantapur,971850,36900103,2020,1
andhra-pradesh,kurnool,936293,34198350,2020,1
andhra-pradesh,guntur,1289678,45282758,2020,1
andhra-pradesh,krishna,1331602,46079408,2020,1
andhra-pradesh,spsr nellore,775440,28879364,2020,1
andhra-pradesh,vizianagaram,490683,21562104,2020,1
andhra-pradesh,ysr,717865,26166193,2020,1
andhra-pradesh,west godavari,843835,24542868,2020,1
andhra-pradesh,chittoor,1270907,51354573,2020,1
andhra-pradesh,east godavari,1459116,45884498,2020,2
andhra-pradesh,srikakulam,608002,23808009,2020,2
andhra-pradesh,visakhapatnam,1904719,69684456,2020,2
andhra-pradesh,prakasam,830709,32255276,2020,2
andhra-pradesh,anantapur,1076953,39704703,2020,2
andhra-pradesh,kurnool,1035093,36268390,2020,2
andhra-pradesh,guntur,1426271,44267596,2020,2
andhra-pradesh,krishna,1459041,41234166,2020,2
andhra-pradesh,spsr nellore,854459,30816403,2020,2
andhra-pradesh,vizianagaram,537798,24370380,2020,2
andhra-pradesh,ysr,796769,29644037,2020,2
andhra-pradesh,west godavari,944829,26583613,2020,2
andhra-pradesh,chittoor,1385916,49820171,2020,2
andhra-pradesh,east godavari,1601940,64292857,2020,3
andhra-pradesh,srikakulam,667858,31794753,2020,3
andhra-pradesh,visakhapatnam,2058346,102589371,2020,3
andhra-pradesh,prakasam,915240,44970519,2020,3
andhra-pradesh,anantapur,1186851,55714787,2020,3
andhra-pradesh,kurnool,1132240,49164718,2020,3
andhra-pradesh,guntur,1567595,62427501,2020,3
andhra-pradesh,krishna,1599289,61028114,2020,3
andhra-pradesh,spsr nellore,937176,43951448,2020,3
andhra-pradesh,vizianagaram,587784,31199437,2020,3
andhra-pradesh,ysr,877909,41578067,2020,3
andhra-pradesh,west godavari,1053674,38126238,2020,3
andhra-pradesh,chittoor,1506503,69462572,2020,3
andhra-pradesh,east godavari,1746280,82605352,2020,4
andhra-pradesh,srikakulam,726761,36770992,2020,4
andhra-pradesh,visakhapatnam,2209658,124730170,2020,4
andhra-pradesh,prakasam,999462,52839846,2020,4
andhra-pradesh,anantapur,1295872,69562398,2020,4
andhra-pradesh,kurnool,1230466,60615045,2020,4
andhra-pradesh,guntur,1712940,81291172,2020,4
andhra-pradesh,krishna,1744028,81787771,2020,4
andhra-pradesh,spsr nellore,1022944,54765443,2020,4
andhra-pradesh,vizianagaram,634462,35110885,2020,4
andhra-pradesh,ysr,959182,49596303,2020,4
andhra-pradesh,west godavari,1163179,51170162,2020,4
andhra-pradesh,chittoor,1631331,88232999,2020,4
andhra-pradesh,east godavari,1878769,91478749,2021,1
andhra-pradesh,srikakulam,782604,40590058,2021,1
andhra-pradesh,visakhapatnam,2368081,135908324,2021,1
andhra-pradesh,prakasam,1075936,56911479,2021,1
andhra-pradesh,anantapur,1394849,73375049,2021,1
andhra-pradesh,kurnool,1323411,65326230,2021,1
andhra-pradesh,guntur,1843237,92731167,2021,1
andhra-pradesh,krishna,1876458,92941553,2021,1
andhra-pradesh,spsr nellore,1100541,60691988,2021,1
andhra-pradesh,vizianagaram,681621,37752539,2021,1
andhra-pradesh,ysr,1032689,53525815,2021,1
andhra-pradesh,west godavari,1254117,57392671,2021,1
andhra-pradesh,chittoor,1751420,99083825,2021,1
andhra-pradesh,east godavari,2006272,84705076,2021,2
andhra-pradesh,srikakulam,837958,43740255,2021,2
andhra-pradesh,visakhapatnam,2526830,114313154,2021,2
andhra-pradesh,prakasam,1151232,76850749,2021,2
andhra-pradesh,anantapur,1492738,104568606,2021,2
andhra-pradesh,kurnool,1415585,81894678,2021,2
andhra-pradesh,guntur,1968681,88248064,2021,2
andhra-pradesh,krishna,2002662,85771678,2021,2
andhra-pradesh,spsr nellore,1176334,74049216,2021,2
andhra-pradesh,vizianagaram,729509,42684475,2021,2
