States,District,Transaction_Year,Quarters,registeredUsers
andhra-pradesh,prakasam,2019,1,474260
andhra-pradesh,visakhapatnam,2019,2,1318740
andhra-pradesh,krishna,2019,2,952300
andhra-pradesh,east godavari,2019,2,945181
andhra-pradesh,chittoor,2019,2,925491
andhra-pradesh,guntur,2019,2,915256
andhra-pradesh,anantapur,2019,2,695114
andhra-pradesh,kurnool,2019,2,680118
andhra-pradesh,west godavari,2019,2,592185
andhra-pradesh,spsr nellore,2019,2,558303
andhra-pradesh,prakasam,2019,2,539462
andhra-pradesh,visakhapatnam,2019,3,1460464
andhra-pradesh,krishna,2019,3,1066546
andhra-pradesh,east godavari,2019,3,1057167
andhra-pradesh,chittoor,2019,3,1032733
andhra-pradesh,guntur,2019,3,1026418
andhra-pradesh,anantapur,2019,3,773656
andhra-pradesh,kurnool,2019,3,755024
andhra-pradesh,west godavari,2019,3,662102
andhra-pradesh,spsr nellore,2019,3,619592
andhra-pradesh,prakasam,2019,3,598568
andhra-pradesh,visakhapatnam,2019,4,1620235
andhra-pradesh,krishna,2019,4,1199971
andhra-pradesh,east godavari,2019,4,1195228
andhra-pradesh,guntur,2019,4,1158708
andhra-pradesh,chittoor,2019,4,1156351
andhra-pradesh,anantapur,2019,4,873033
andhra-pradesh,kurnool,2019,4,846885
andhra-pradesh,west godavari,2019,4,750078
andhra-pradesh,spsr nellore,2019,4,697154
andhra-pradesh,prakasam,2019,4,673522
andhra-pradesh,visakhapatnam,2020,1,1763581
andhra-pradesh,krishna,2020,1,1331602
andhra-pradesh,east godavari,2020,1,1329664
andhra-pradesh,guntur,2020,1,1289678
andhra-pradesh,chittoor,2020,1,1270907
andhra-pradesh,anantapur,2020,1,971850
andhra-pradesh,kurnool,2020,1,936293
andhra-pradesh,west godavari,2020,1,843835
andhra-pradesh,spsr nellore,2020,1,775440
andhra-pradesh,prakasam,2020,1,748655
andhra-pradesh,visakhapatnam,2020,2,1904719
andhra-pradesh,east godavari,2020,2,1459116
andhra-pradesh,krishna,2020,2,1459041
andhra-pradesh,guntur,2020,2,1426271
andhra-pradesh,chittoor,2020,2,1385916
andhra-pradesh,anantapur,2020,2,1076953
andhra-pradesh,kurnool,2020,2,1035093
andhra-pradesh,west godavari,2020,2,944829
andhra-pradesh,spsr nellore,2020,2,854459
andhra-pradesh,prakasam,2020,2,830709
andhra-pradesh,visakhapatnam,2020,3,2058346
andhra-pradesh,east godavari,2020,3,1601940
andhra-pradesh,krishna,2020,3,1599289
andhra-pradesh,guntur,2020,3,1567595
andhra-pradesh,chittoor,2020,3,1506503
andhra-pradesh,anantapur,2020,3,1186851
andhra-pradesh,kurnool,2020,3,1132240
andhra-pradesh,west godavari,2020,3,1053674
andhra-pradesh,spsr nellore,2020,3,937176
andhra-pradesh,prakasam,2020,3,915240
andhra-pradesh,visakhapatnam,2020,4,2209658
andhra-pradesh,east godavari,2020,4,1746280
andhra-pradesh,krishna,2020,4,1744028
andhra-pradesh,guntur,2020,4,1712940
andhra-pradesh,chittoor,2020,4,1631331
andhra-pradesh,anantapur,2020,4,1295872
andhra-pradesh,kurnool,2020,4,1230466
andhra-pradesh,west godavari,2020,4,1163179
andhra-pradesh,spsr nellore,2020,4,1022944
andhra-pradesh,prakasam,2020,4,999462
andhra-pradesh,visakhapatnam,2021,1,2368081
andhra-pradesh,east godavari,2021,1,1878769
andhra-pradesh,krishna,2021,1,1876458
andhra-pradesh,guntur,2021,1,1843237
andhra-pradesh,chittoor,2021,1,1751420
andhra-pradesh,anantapur,2021,1,1394849
andhra-pradesh,kurnool,2021,1,1323411
andhra-pradesh,west godavari,2021,1,1254117
andhra-pradesh,spsr nellore,2021,1,1100541
andhra-pradesh,prakasam,2021,1,1075936
andhra-pradesh,visakhapatnam,2021,2,2526830
andhra-pradesh,east godavari,2021,2,2006272
andhra-pradesh,krishna,2021,2,2002662
andhra-pradesh,guntur,2021,2,1968681
andhra-pradesh,chittoor,2021,2,1870723
andhra-pradesh,anantapur,2021,2,1492738
andhra-pradesh,kurnool,2021,2,1415585
andhra-pradesh,west godavari,2021,2,1339377
andhra-pradesh,spsr nellore,2021,2,1176334
andhra-pradesh,prakasam,2021,2,1151232
andhra-pradesh,visakhapatnam,2021,3,2707931
andhra-pradesh,east godavari,2021,3,2150622
andhra-pradesh,krishna,2021,3,2145423
andhra-pradesh,guntur,2021,3,2110878
andhra-pradesh,chittoor,2021,3,2007011
andhra-pradesh,anantapur,2021,3,1606735
andhra-pradesh,kurnool,2021,3,1522196
andhra-pradesh,west godavari,2021,3,1436576
andhra-pradesh,spsr nellore,2021,3,1263550
andhra-pradesh,prakasam,2021,3,1239147
andhra-pradesh,visakhapatnam,2021,4,2888774
andhra-pradesh,east godavari,2021,4,2294347
andhra-pradesh,krishna,2021,4,2288148
andhra-pradesh,guntur,2021,4,2252443
andhra-pradesh,chittoor,2021,4,2141818
andhra-pradesh,anantapur,2021,4,1719437
andhra-pradesh,kurnool,2021,4,1628242
andhra-pradesh,west godavari,2021,4,1532898
andhra-pradesh,spsr nellore,2021,4,1349290
andhra-pradesh,prakasam,2021,4,1325728
andhra-pradesh,visakhapatnam,2022,1,3061324
andhra-pradesh,east godavari,2022,1,2432305
