Name,States,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
Financial Services,andaman-&-nicobar-islands,2021,1,TOTAL,884,1469351.0852598653
Others,andaman-&-nicobar-islands,2021,1,TOTAL,1201,1077918.666433228
Peer-to-peer payments,andaman-&-nicobar-islands,2021,2,TOTAL,132772,748382044.7707307
Recharge & bill payments,andaman-&-nicobar-islands,2021,2,TOTAL,120911,43691961.26275121
Merchant payments,andaman-&-nicobar-islands,2021,2,TOTAL,85143,103707408.50908463
Financial Services,andaman-&-nicobar-islands,2021,2,TOTAL,960,2038521.5136710338
Others,andaman-&-nicobar-islands,2021,2,TOTAL,1628,1327080.0560584562
Peer-to-peer payments,andaman-&-nicobar-islands,2021,3,TOTAL,192321,1077787837.1562996
Recharge & bill payments,andaman-&-nicobar-islands,2021,3,TOTAL,136010,51243450.85925055
Merchant payments,andaman-&-nicobar-islands,2021,3,TOTAL,118340,176991328.21761328
Financial Services,andaman-&-nicobar-islands,2021,3,TOTAL,990,2351013.441729573
Others,andaman-&-nicobar-islands,2021,3,TOTAL,2103,1650766.1267105162
Peer-to-peer payments,andaman-&-nicobar-islands,2021,4,TOTAL,285778,1544932663.2744582
Merchant payments,andaman-&-nicobar-islands,2021,4,TOTAL,210164,322842314.62433755
Recharge & bill payments,andaman-&-nicobar-islands,2021,4,TOTAL,135608,59243518.11464358
Financial Services,andaman-&-nicobar-islands,2021,4,TOTAL,1718,3137965.167474068
Others,andaman-&-nicobar-islands,2021,4,TOTAL,2855,2453640.142743944
Peer-to-peer payments,andaman-&-nicobar-islands,2022,1,TOTAL,342649,1682328505.7254477
Merchant payments,andaman-&-nicobar-islands,2022,1,TOTAL,284298,370091558.68373305
Recharge & bill payments,andaman-&-nicobar-islands,2022,1,TOTAL,163401,71300133.66101266
Financial Services,andaman-&-nicobar-islands,2022,1,TOTAL,1757,2869682.0229511866
Others,andaman-&-nicobar-islands,2022,1,TOTAL,2643,2440321.9820225406
Merchant payments,andaman-&-nicobar-islands,2022,2,TOTAL,449540,510838980.9061847
Peer-to-peer payments,andaman-&-nicobar-islands,2022,2,TOTAL,437606,2088309073.4552848
Recharge & bill payments,andaman-&-nicobar-islands,2022,2,TOTAL,179515,82232936.61795366
Financial Services,andaman-&-nicobar-islands,2022,2,TOTAL,1448,2089862.3927160464
Others,andaman-&-nicobar-islands,2022,2,TOTAL,3108,2449496.7081265687
Merchant payments,andaman-&-nicobar-islands,2022,3,TOTAL,716105,693438186.296541
Peer-to-peer payments,andaman-&-nicobar-islands,2022,3,TOTAL,622217,2514535154.56483
Recharge & bill payments,andaman-&-nicobar-islands,2022,3,TOTAL,240766,97748065.62714244
Financial Services,andaman-&-nicobar-islands,2022,3,TOTAL,1814,2166304.9779766416
Others,andaman-&-nicobar-islands,2022,3,TOTAL,3477,2744060.670897343
Merchant payments,andaman-&-nicobar-islands,2022,4,TOTAL,956536,906365300.6585041
Peer-to-peer payments,andaman-&-nicobar-islands,2022,4,TOTAL,768758,2961630584.8271313
Recharge & bill payments,andaman-&-nicobar-islands,2022,4,TOTAL,256050,110037119.66941178
Financial Services,andaman-&-nicobar-islands,2022,4,TOTAL,2499,3533987.2301130476
Others,andaman-&-nicobar-islands,2022,4,TOTAL,3692,3107412.043626394
Recharge & bill payments,andhra-pradesh,2018,1,TOTAL,5027448,892293975.6698562
Peer-to-peer payments,andhra-pradesh,2018,1,TOTAL,3049646,10524250283.178782
Merchant payments,andhra-pradesh,2018,1,TOTAL,362672,247297640.24000686
Financial Services,andhra-pradesh,2018,1,TOTAL,204305,44808449.7639544
Others,andhra-pradesh,2018,1,TOTAL,395514,287626042.970705
Recharge & bill payments,andhra-pradesh,2018,2,TOTAL,6456387,1598591488.4880352
Peer-to-peer payments,andhra-pradesh,2018,2,TOTAL,4745000,20451493098.8953
Merchant payments,andhra-pradesh,2018,2,TOTAL,604847,436785223.86032957
Financial Services,andhra-pradesh,2018,2,TOTAL,225621,68952114.81374599
Others,andhra-pradesh,2018,2,TOTAL,322063,328092346.575651
Peer-to-peer payments,andhra-pradesh,2018,3,TOTAL,16129591,32738630444.668724
Recharge & bill payments,andhra-pradesh,2018,3,TOTAL,7542005,1949098146.8941927
Merchant payments,andhra-pradesh,2018,3,TOTAL,1225416,685277254.5076212
Financial Services,andhra-pradesh,2018,3,TOTAL,380324,60790077.57437308
Others,andhra-pradesh,2018,3,TOTAL,348725,284248675.5700202
Peer-to-peer payments,andhra-pradesh,2018,4,TOTAL,17580086,47011639726.13608
Recharge & bill payments,andhra-pradesh,2018,4,TOTAL,9767083,2418164314.470957
Merchant payments,andhra-pradesh,2018,4,TOTAL,2622131,1671585888.568256
Financial Services,andhra-pradesh,2018,4,TOTAL,400837,57178116.40322068
Others,andhra-pradesh,2018,4,TOTAL,389411,315211361.26249415
Peer-to-peer payments,andhra-pradesh,2019,1,TOTAL,37420988,77524329742.2595
Recharge & bill payments,andhra-pradesh,2019,1,TOTAL,14022264,3480641602.3771377
Merchant payments,andhra-pradesh,2019,1,TOTAL,5043682,2423536770.3706346
Financial Services,andhra-pradesh,2019,1,TOTAL,416325,47150177.52982048
Others,andhra-pradesh,2019,1,TOTAL,361263,284937624.5393019
Peer-to-peer payments,andhra-pradesh,2019,2,TOTAL,32494402,103924649232.47021
Recharge & bill payments,andhra-pradesh,2019,2,TOTAL,14093964,4708345387.9101095
Merchant payments,andhra-pradesh,2019,2,TOTAL,9226537,4613405202.681959
Financial Services,andhra-pradesh,2019,2,TOTAL,145310,26626696.771042537
Others,andhra-pradesh,2019,2,TOTAL,448802,361492238.3966455
Peer-to-peer payments,andhra-pradesh,2019,3,TOTAL,39023491,124338645329.51532
Recharge & bill payments,andhra-pradesh,2019,3,TOTAL,20147629,6893984676.598906
Merchant payments,andhra-pradesh,2019,3,TOTAL,16581787,7887394038.066369
Financial Services,andhra-pradesh,2019,3,TOTAL,122270,29778183.027080443
Others,andhra-pradesh,2019,3,TOTAL,413437,298142027.58625776
Peer-to-peer payments,andhra-pradesh,2019,4,TOTAL,57181511,178893550050.68753
Merchant payments,andhra-pradesh,2019,4,TOTAL,25122370,13476303367.50486
Recharge & bill payments,andhra-pradesh,2019,4,TOTAL,24469888,8335168605.691999
Financial Services,andhra-pradesh,2019,4,TOTAL,105662,26796571.745749153
Others,andhra-pradesh,2019,4,TOTAL,338672,216496893.16102877
Peer-to-peer payments,andhra-pradesh,2020,1,TOTAL,65452143,223088554055.04755
Merchant payments,andhra-pradesh,2020,1,TOTAL,31408022,18603161784.496994
Recharge & bill payments,andhra-pradesh,2020,1,TOTAL,30449644,10813530777.973532
Financial Services,andhra-pradesh,2020,1,TOTAL,75238,43739133.169823855
Others,andhra-pradesh,2020,1,TOTAL,292310,188228538.37489766
Peer-to-peer payments,andhra-pradesh,2020,2,TOTAL,73609921,262731724130.7907
Recharge & bill payments,andhra-pradesh,2020,2,TOTAL,41013987,16991006436.573467
Merchant payments,andhra-pradesh,2020,2,TOTAL,29976765,22625596525.44269
Financial Services,andhra-pradesh,2020,2,TOTAL,140941,145274999.15679634
Others,andhra-pradesh,2020,2,TOTAL,176241,90087654.60009979
Peer-to-peer payments,andhra-pradesh,2020,3,TOTAL,106791894,406461788252.32056
Merchant payments,andhra-pradesh,2020,3,TOTAL,54055557,40739580213.86052
Recharge & bill payments,andhra-pradesh,2020,3,TOTAL,43500067,19475104674.827175
Financial Services,andhra-pradesh,2020,3,TOTAL,243088,256074924.7187529
Others,andhra-pradesh,2020,3,TOTAL,312329,151582519.18136686
Peer-to-peer payments,andhra-pradesh,2020,4,TOTAL,152003791,566639138543.7708
Merchant payments,andhra-pradesh,2020,4,TOTAL,86581460,66654048149.95168
Recharge & bill payments,andhra-pradesh,2020,4,TOTAL,46810304,20936337211.557747
Financial Services,andhra-pradesh,2020,4,TOTAL,265470,305168772.45601684
Others,andhra-pradesh,2020,4,TOTAL,457527,306853355.59473807
Peer-to-peer payments,andhra-pradesh,2021,1,TOTAL,149313738,580542193013.0018
Merchant payments,andhra-pradesh,2021,1,TOTAL,97920281,70813192713.43477
Recharge & bill payments,andhra-pradesh,2021,1,TOTAL,41940689,20546424964.14482
Financial Services,andhra-pradesh,2021,1,TOTAL,225355,270313028.48452014
Others,andhra-pradesh,2021,1,TOTAL,347907,272546457.5502677
Peer-to-peer payments,andhra-pradesh,2021,2,TOTAL,189614879,737004484057.439
Merchant payments,andhra-pradesh,2021,2,TOTAL,112875274,88512429436.91248
Recharge & bill payments,andhra-pradesh,2021,2,TOTAL,49626902,24646800345.106976
Financial Services,andhra-pradesh,2021,2,TOTAL,243237,265483044.40124667
Others,andhra-pradesh,2021,2,TOTAL,406842,308302224.3856007
Peer-to-peer payments,andhra-pradesh,2021,3,TOTAL,221280317,837841124664.307
Merchant payments,andhra-pradesh,2021,3,TOTAL,158290953,118164377968.16754
Recharge & bill payments,andhra-pradesh,2021,3,TOTAL,51702350,27511344958.24361
Financial Services,andhra-pradesh,2021,3,TOTAL,211171,297239697.83073866
