States,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
tamil nadu,2018,4,TOTAL,22457444,43302073975.890976
uttar pradesh,2018,4,TOTAL,36100767,55096743575.91497
madhya pradesh,2018,4,TOTAL,21397555,33905608072.964783
andhra pradesh,2018,4,TOTAL,30759548,51473779406.840416
tripura,2018,4,TOTAL,448059,624885599.4644469
lakshadweep,2018,4,TOTAL,1642,4463213.698222831
manipur,2018,4,TOTAL,236110,605683559.3060112
maharashtra,2018,4,TOTAL,46090223,79518937047.82959
dadra & nagar haveli & daman & diu,2018,4,TOTAL,404082,658750616.8008878
meghalaya,2018,4,TOTAL,161132,337585679.00467324
andaman & nicobar islands,2018,4,TOTAL,23758,90548336.07445517
haryana,2018,4,TOTAL,12950183,25390876016.455025
rajasthan,2018,4,TOTAL,20959723,37909087083.33885
ladakh,2018,4,TOTAL,35211,135522842.49263746
punjab,2018,4,TOTAL,4887137,10781982573.649624
assam,2018,4,TOTAL,3734172,5888022859.01307
jharkhand,2018,4,TOTAL,6284043,10241916641.12223
odisha,2018,4,TOTAL,21142798,23429869571.55922
bihar,2018,4,TOTAL,15732401,28397997168.57623
kerala,2018,4,TOTAL,4310654,7747361236.812299
karnataka,2018,4,TOTAL,44812071,73008386576.05942
chandigarh,2018,4,TOTAL,905116,2032591591.779975
telangana,2018,4,TOTAL,28921154,49509088448.04927
himachal pradesh,2018,4,TOTAL,1307883,2621298968.1392584
west bengal,2018,4,TOTAL,36513548,40489619211.70402
gujarat,2018,4,TOTAL,14733303,24830987102.78186
sikkim,2018,4,TOTAL,154533,383141358.07825375
nagaland,2018,4,TOTAL,139333,388013467.5456239
mizoram,2018,4,TOTAL,55242,190426852.52952954
chhattisgarh,2018,4,TOTAL,5365844,9416412664.971258
jammu & kashmir,2018,4,TOTAL,2721310,5664720265.697432
goa,2018,4,TOTAL,514755,1153005078.9224057
arunachal pradesh,2018,4,TOTAL,176429,504040029.0917605
delhi,2018,4,TOTAL,29187719,39722857618.706436
uttarakhand,2018,4,TOTAL,3178761,5654272137.963844
puducherry,2019,1,TOTAL,501092,906473024.3065231
tamil nadu,2019,1,TOTAL,32275045,56204036816.128555
uttar pradesh,2019,1,TOTAL,57324504,76524180134.0167
madhya pradesh,2019,1,TOTAL,37301049,48070279522.04201
andhra pradesh,2019,1,TOTAL,57264522,83760595917.0792
tripura,2019,1,TOTAL,580926,756894941.6158216
lakshadweep,2019,1,TOTAL,2481,8786130.479338994
manipur,2019,1,TOTAL,265409,659898060.4240801
maharashtra,2019,1,TOTAL,75079069,111420690920.33997
dadra & nagar haveli & daman & diu,2019,1,TOTAL,661814,843369776.0499002
meghalaya,2019,1,TOTAL,208741,399037162.15343595
andaman & nicobar islands,2019,1,TOTAL,30486,102299740.67348987
haryana,2019,1,TOTAL,22135775,34051655721.631077
rajasthan,2019,1,TOTAL,43956040,61141158575.55252
ladakh,2019,1,TOTAL,46145,152859920.9491272
punjab,2019,1,TOTAL,7172137,13574490001.853222
assam,2019,1,TOTAL,4533005,8002099536.451059
jharkhand,2019,1,TOTAL,9387708,13627236449.278034
odisha,2019,1,TOTAL,34031942,35427127930.698456
bihar,2019,1,TOTAL,26356234,41502827514.52612
kerala,2019,1,TOTAL,6469039,10235031134.849785
karnataka,2019,1,TOTAL,86587609,117976382145.74966
chandigarh,2019,1,TOTAL,1274476,2396032050.444029
telangana,2019,1,TOTAL,65290702,95523262035.66321
himachal pradesh,2019,1,TOTAL,2168718,3381481442.991081
west bengal,2019,1,TOTAL,47626388,50164672623.87851
gujarat,2019,1,TOTAL,24991451,35856080308.47724
sikkim,2019,1,TOTAL,240287,457993634.3840939
nagaland,2019,1,TOTAL,168579,441941712.41233104
